Date,Time,Open,High,Low,Close,Volume,Turnover,OpenInterest
10/26/94,0:00:00,3855.3,3870.1,3846.22,3848.24,0,0,0
10/27/94,0:00:00,3844.54,3866.06,3848.91,3860.68,0,0,0
10/28/94,0:00:00,3875.15,3919.21,3873.46,3907.44,0,0,0
10/29/94,0:00:00,3930.66,3930.66,3930.66,3930.66,0,0,0
10/31/94,0:00:00,3930.66,3937.05,3915.86,3917.88,0,0,0
11/1/94,0:00:00,3916.2,3930.32,3872.8,3882.89,0,0,0
11/2/94,0:00:00,3863.37,3864.38,3841.84,3848.57,0,0,0
11/3/94,0:00:00,3852.94,3875.15,3834.1,3844.2,0,0,0
11/4/94,0:00:00,3847.22,3864.38,3845.88,3856.98,0,0,0
11/7/94,0:00:00,3807.52,3819.3,3798.78,3811.22,0,0,0
11/8/94,0:00:00,3807.52,3819.97,3808.87,3810.55,0,0,0
11/9/94,0:00:00,3816.94,3868.76,3831.07,3846.89,0,0,0
11/10/94,0:00:00,3844.87,3857.99,3832.09,3857.99,0,0,0
11/11/94,0:00:00,3853.28,3853.96,3807.19,3809.21,0,0,0
11/14/94,0:00:00,3801.47,3820.31,3800.8,3813.92,0,0,0
11/15/94,0:00:00,3816.61,3853.61,3828.05,3847.56,0,0,0
11/16/94,0:00:00,3847.89,3856.3,3823,3829.73,0,0,0
11/17/94,0:00:00,3845.2,3849.24,3835.45,3837.8,0,0,0
11/18/94,0:00:00,3836.12,3841.5,3815.6,3820.64,0,0,0
11/21/94,0:00:00,3815.26,3833.43,3815.26,3823,0,0,0
11/22/94,0:00:00,3823.34,3827.04,3737.22,3747.98,0,0,0
11/23/94,0:00:00,3745.96,3765.14,3644.01,3668.57,0,0,0
11/24/94,0:00:00,3663.52,3685.73,3638.97,3674.63,0,0,0
11/25/94,0:00:00,3674.63,3702.55,3674.63,3701.54,0,0,0
11/28/94,0:00:00,3708.27,3741.57,3708.27,3729.12,0,0,0
11/29/94,0:00:00,3728.11,3742.59,3712.3,3722.4,0,0,0
11/30/94,0:00:00,3721.4,3761.43,3738.55,3754.7,0,0,0
12/1/94,0:00:00,3762.77,3763.11,3721.06,3730.14,0,0,0
12/2/94,0:00:00,3729.13,3731.83,3690.44,3691.45,0,0,0
12/5/94,0:00:00,3745.62,3762.77,3745.28,3754.36,0,0,0
12/6/94,0:00:00,3755.04,3761.43,3722.07,3732.83,0,0,0
12/7/94,0:00:00,3737.54,3749.32,3718.03,3731.15,0,0,0
12/8/94,0:00:00,3731.15,3742.59,3726.77,3727.11,0,0,0
12/9/94,0:00:00,3685.73,3685.73,3655.45,3673.28,0,0,0
12/12/94,0:00:00,3691.11,3705.91,3687.08,3692.46,0,0,0
12/13/94,0:00:00,3692.12,3727.45,3710.29,3724.76,0,0,0
12/14/94,0:00:00,3720.72,3740.23,3714.33,3738.55,0,0,0
12/15/94,0:00:00,3737.2,3758.4,3743.6,3752.35,0,0,0
12/16/94,0:00:00,3758.74,3782.96,3765.8,3777.91,0,0,0
12/19/94,0:00:00,3807.19,3807.19,3788.35,3788.35,0,0,0
12/20/94,0:00:00,3790.7,3790.7,3777.24,3783.97,0,0,0
12/21/94,0:00:00,3783.64,3802.14,3768.16,3801.13,0,0,0
12/22/94,0:00:00,3799.45,3819.97,3801.47,3811.56,0,0,0
12/23/94,0:00:00,3812.57,3829.05,3812.9,3826.02,0,0,0
12/28/94,0:00:00,3860.68,3866.4,3851.26,3857.99,0,0,0
12/29/94,0:00:00,3855.63,3855.63,3826.03,3840.5,0,0,0
12/30/94,0:00:00,3842.51,3849.58,3832.76,3843.19,0,0,0
1/3/95,0:00:00,3834.44,3841.84,3828.72,3841.5,0,0,0
1/4/95,0:00:00,3839.48,3854.62,3827.71,3853.95,0,0,0
1/5/95,0:00:00,3850.25,3858.66,3831.07,3851.59,0,0,0
1/6/95,0:00:00,3855.97,3861.35,3842.17,3857.31,0,0,0
1/9/95,0:00:00,3867.41,3868.75,3856.3,3865.39,0,0,0
1/10/95,0:00:00,3869.42,3881.87,3853.61,3880.19,0,0,0
1/11/95,0:00:00,3883.22,3898.69,3863.03,3866.4,0,0,0
1/12/95,0:00:00,3861.69,3863.71,3840.5,3856.98,0,0,0
1/13/95,0:00:00,3859.34,3881.88,3851.6,3875.15,0,0,0
1/16/95,0:00:00,3908.46,3922.25,3907.45,3917.88,0,0,0
1/17/95,0:00:00,3924.6,3936.38,3916.53,3932.68,0,0,0
1/18/95,0:00:00,3925.28,3933.35,3922.92,3927.29,0,0,0
1/19/95,0:00:00,3922.25,3928.98,3906.77,3906.77,0,0,0
1/20/95,0:00:00,3901.05,3905.09,3853.61,3855.3,0,0,0
1/23/95,0:00:00,3869.43,3869.43,3842.17,3845.54,0,0,0
1/24/95,0:00:00,3842.85,3874.14,3862.36,3868.76,0,0,0
1/25/95,0:00:00,3870.77,3876.16,3845.88,3868.75,0,0,0
1/26/95,0:00:00,3867.07,3891.29,3868.42,3876.83,0,0,0
1/27/95,0:00:00,3873.47,3886.92,3865.39,3874.48,0,0,0
1/30/95,0:00:00,3857.99,3859,3836.12,3847.56,0,0,0
2/3/95,0:00:00,3850.92,3909.46,3850.59,3909.46,0,0,0
2/6/95,0:00:00,3928.64,3935.36,3920.9,3922.91,0,0,0
2/7/95,0:00:00,3927.62,3948.48,3929.99,3932.68,0,0,0
2/8/95,0:00:00,3932.34,3943.11,3931,3943.11,0,0,0
2/9/95,0:00:00,3941.43,3953.54,3928.64,3930.33,0,0,0
2/10/95,0:00:00,3934.7,3948.83,3932.68,3938.06,0,0,0
2/13/95,0:00:00,3939.07,3949.16,3935.04,3941.76,0,0,0
2/14/95,0:00:00,3940.75,3965.31,3954.55,3960.6,0,0,0
2/15/95,0:00:00,3956.57,3966.32,3953.2,3961.95,0,0,0
2/16/95,0:00:00,3965.31,3997.94,3964.3,3966.66,0,0,0
2/17/95,0:00:00,3971.7,3987.52,3967.33,3967.33,0,0,0
2/20/95,0:00:00,3953.54,3953.54,3953.54,3953.54,0,0,0
2/21/95,0:00:00,3953.54,3968.34,3952.87,3963.97,0,0,0
2/22/95,0:00:00,3964.31,3985.83,3962.29,3985.16,0,0,0
2/23/95,0:00:00,3979.11,4011.74,3973.72,4005.69,0,0,0
2/24/95,0:00:00,4008.38,4020.15,3998.96,4005.01,0,0,0
2/27/95,0:00:00,4011.74,4021.08,3999.99,4012.09,0,0,0
2/28/95,0:00:00,3989.27,3991.34,3979.58,3989.61,0,0,0
3/1/95,0:00:00,3994.45,4011.74,3993.41,4006.55,0,0,0
3/2/95,0:00:00,4005.52,4014.16,3975.78,3978.54,0,0,0
